HTTrack3.49-2+htsswf+htsjava launched on Fri, 12 Jul 2024 22:19:46 at https://www.duxnutrition.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "pt_BR, en, *" https://www.duxnutrition.com/ -O1 "C:\Meus Sites\copia1" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/protein-bar-3unidades/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/protein-bar-3unidades/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/protein-bar-60g-display/location.href (from https://www.duxnutrition.com/protein-bar-60g-display/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/protein-bar-60g-display/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/protein-bar-60g-display/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/creatinamonohidratada-pote100g/location.href (from https://www.duxnutrition.com/creatinamonohidratada-pote100g/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/creatinamonohidratada-pote100g/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/creatinamonohidratada-pote100g/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/collagen-advanced-10-saches/location.href (from https://www.duxnutrition.com/collagen-advanced-10-saches/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/collagen-advanced-10-saches/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/collagen-advanced-10-saches/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/collagen-10-saches/location.href (from https://www.duxnutrition.com/collagen-10-saches/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/collagen-10-saches/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/collagen-10-saches/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/energykick-caffeine-sache35g/location.href (from https://www.duxnutrition.com/energykick-caffeine-sache35g/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/energykick-caffeine-sache35g/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/energykick-caffeine-sache35g/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/protein-shake-pack4unidades-um-de-cada-sabor/location.href (from https://www.duxnutrition.com/protein-shake-pack4unidades-um-de-cada-sabor/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/protein-shake-pack4unidades-um-de-cada-sabor/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/protein-shake-pack4unidades-um-de-cada-sabor/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/protein-shake-pack4unidades/location.href (from https://www.duxnutrition.com/protein-shake-pack4unidades/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/protein-shake-pack4unidades/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/protein-shake-pack4unidades/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/creatina-pote100g/location.href (from https://www.duxnutrition.com/creatina-pote100g/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/creatina-pote100g/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/creatina-pote100g/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/glutamina-pote100g/location.href (from https://www.duxnutrition.com/glutamina-pote100g/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/glutamina-pote100g/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/glutamina-pote100g/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/fresh-whey-sache/location.href (from https://www.duxnutrition.com/fresh-whey-sache/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/fresh-whey-sache/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/fresh-whey-sache/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/fresh-vegan-sache/location.href (from https://www.duxnutrition.com/fresh-vegan-sache/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/fresh-vegan-sache/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/fresh-vegan-sache/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/wheyproteinconcentrado-1sache/location.href (from https://www.duxnutrition.com/wheyproteinconcentrado-1sache/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/wheyproteinconcentrado-1sache/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/wheyproteinconcentrado-1sache/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/wheyproteinisolado-1sache/location.href (from https://www.duxnutrition.com/wheyproteinisolado-1sache/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/wheyproteinisolado-1sache/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/wheyproteinisolado-1sache/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/energykick-sache35g/location.href (from https://www.duxnutrition.com/energykick-sache35g/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/energykick-sache35g/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/energykick-sache35g/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/wheyproteinisolado-5saches/location.href (from https://www.duxnutrition.com/wheyproteinisolado-5saches/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/wheyproteinisolado-5saches/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/wheyproteinisolado-5saches/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/multi-collagen/location.href (from https://www.duxnutrition.com/multi-collagen/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/multi-collagen/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/multi-collagen/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/creatina-creavitalis--pote-100g/location.href (from https://www.duxnutrition.com/creatina-creavitalis--pote-100g/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/creatina-creavitalis--pote-100g/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/creatina-creavitalis--pote-100g/p)
22:36:46	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/collagen/location.href (from https://www.duxnutrition.com/collagen/p)
